INBR,Name,Name kurz,DS100,Kategorie
8007044,Hamburg-Eidelstedt Zentrum,Hamburg-Eidelstedt Zentrum,AENZ,6
8098147,Hamburg-Harburg(S),Hamburg-Harburg(S),AHRS,6
8002909,Hamburg-Hörgensweg,Hamburg-Hörgensweg,AHOW,6
8007045,Hamburg-Schnelsen,Hamburg-Schnelsen,ASLS,6
131989,Hamm - Düsseldorf,Hamm - Düsseldorf,D131989,6
966904,Hammersbach Zugspitzbahn - Grainau,Hammersbach Zugspitzbahn - Grainau,MHMB,6
8070419,Hammerstein,Hammerstein,RHST,6
8600876,Hammerum st,Hammerum st,XDHU,6
8011817,Hammerunterwiesenthal,Hammerunterwiesenthal,DHUW,6
8007235,Hanfertal,Hanfertal,THFT,6
8070076,Hangelar Mitte,Hangelar Mitte,KHIBM,6
8100267,Hard-Fussach,Hard-Fussach,XAHA,6
8400293,Hardenberg,Hardenberg,ONH,6
8400294,Harderwijk,Harderwijk,ONHAW,6
8400104,Hardinxveld Blauwe Zoom,Hardinxveld Blauwe Zoom,PNABU,6
8400295,Hardinxveld-Giessendam,Hardinxveld-Giessendam,ONHAG,6
8400297,Haren(NL),Haren(NL),ONHAR,6
5500613,Haris,Haris,OMHR,6
8002600,Harlesiel,Harlesiel,HHLE,6
8400296,Harlingen(NL),Harlingen(NL),ONHA,6
8007843,Harsefeld,Harsefeld,AHFD,6
8102050,Hart b. Graz,Hart b. Graz,PAHA,6
8100180,Hartberg,Hartberg,OAHB,6
8011823,Hartenstein,Hartenstein,DHST,6
8070253,Harxheim-Zell,Harxheim-Zell,FHAX,6
8017012,Harzgerode,Harzgerode,LHZG,6
8100981,Haselstauden (Dornbirn),Haselstauden (Dornbirn),OAHSS,6
8002622,Hasloch(Main),Hasloch(Main),NHCH,6
8007048,Hasloh,Hasloh,AHLH,6
8079025,Haslohfurth,Haslohfurth,AHLF,6
8002627,Hasselborn,Hasselborn,FHL,6
8017013,Hasselfelde,Hasselfelde,LHAF,6
8800114,Hasselt,Hasselt,XBHT,6
8100921,Hatlerdorf(Dornbirn),Hatlerdorf(Dornbirn),OAHAT,6
8100986,Hatting in Tirol,Hatting in Tirol,XAHI,6
8100268,Hatzendorf,Hatzendorf,OAHZ,6
8007192,Haubersbronn,Haubersbronn,THAU,6
